Time,Ax,Ay,Az
0.00,-0.98,-0.00,-0.06
0.08,-0.99,-0.00,-0.05
0.13,-0.98,-0.00,-0.06
0.18,-0.98,-0.00,-0.06
0.23,-0.99,-0.00,-0.06
0.29,-0.98,-0.01,-0.06
0.34,-0.98,-0.00,-0.06
0.40,-0.98,-0.00,-0.05
0.45,-0.99,0.00,-0.06
0.50,-0.98,-0.01,-0.06
0.55,-0.99,-0.00,-0.06
0.61,-0.98,-0.00,-0.06
0.66,-0.99,-0.01,-0.06
0.71,-0.98,-0.00,-0.06
0.77,-0.99,-0.00,-0.06
0.82,-0.99,-0.00,-0.06
0.87,-0.99,-0.00,-0.06
0.93,-0.99,-0.00,-0.06
0.98,-0.98,0.00,-0.06
1.03,-0.99,-0.00,-0.06
1.09,-0.98,-0.00,-0.06
1.14,-0.98,-0.00,-0.06
1.20,-0.98,-0.00,-0.05
1.25,-0.98,-0.00,-0.06
1.30,-0.98,-0.00,-0.06
1.35,-0.99,-0.00,-0.06
1.41,-0.98,-0.00,-0.05
1.46,-0.99,0.00,-0.06
1.51,-0.98,-0.00,-0.06
1.57,-0.98,-0.01,-0.06
1.62,-0.98,-0.00,-0.06
1.67,-0.99,-0.00,-0.06
1.73,-0.98,-0.00,-0.06
1.78,-0.98,0.00,-0.06
1.84,-0.98,-0.00,-0.06
1.89,-0.98,-0.01,-0.06
1.94,-0.99,-0.00,-0.06
1.99,-0.98,-0.00,-0.06
2.05,-0.98,-0.00,-0.06
2.10,-0.99,-0.00,-0.06
2.15,-0.99,-0.00,-0.06
2.21,-0.98,-0.00,-0.06
2.26,-0.98,-0.00,-0.06
2.31,-0.98,-0.00,-0.06
2.37,-0.75,-0.01,-0.05
2.42,-0.80,0.02,0.00
2.47,-0.83,0.03,-0.12
2.53,-0.90,0.02,-0.07
2.58,-0.89,0.04,-0.09
2.63,-0.88,-0.02,-0.07
2.69,-1.17,-0.06,-0.07
2.74,-0.88,0.03,-0.06
2.79,-1.07,0.01,-0.08
2.85,-0.92,0.00,-0.12
2.90,-1.00,-0.01,-0.04
2.95,-0.93,0.04,-0.09
3.01,-0.97,-0.01,-0.08
3.06,-0.96,0.13,-0.08
3.11,-0.92,0.01,-0.10
3.17,-0.96,0.00,-0.04
3.22,-1.02,-0.05,-0.06
3.27,-0.97,0.00,-0.07
3.33,-0.97,-0.02,-0.07
3.38,-0.96,-0.04,-0.07
3.43,-1.00,-0.01,-0.10
3.49,-0.94,0.01,-0.09
3.54,-0.98,-0.01,-0.09
3.59,-1.01,-0.02,-0.09
3.65,-0.94,0.00,-0.11
3.70,-1.00,-0.09,-0.06
3.75,-0.99,0.06,-0.08
3.81,-0.96,0.01,-0.06
3.86,-1.02,-0.01,-0.05
3.91,-1.00,0.01,-0.09
3.97,-0.95,0.02,-0.06
4.02,-0.97,-0.03,-0.05
4.07,-0.99,-0.03,-0.05
4.13,-0.98,-0.01,-0.09
4.18,-0.99,-0.01,-0.06
4.23,-1.03,0.05,-0.09
4.29,-0.91,-0.03,-0.09
4.34,-0.98,0.01,-0.10
4.39,-1.01,-0.02,-0.03
4.45,-1.04,-0.02,-0.07
4.50,-0.99,0.01,-0.05
4.55,-1.02,0.01,-0.00
4.61,-0.92,0.04,-0.06
4.66,-0.97,0.01,-0.08
4.71,-1.00,0.00,-0.05
4.77,-0.96,0.06,-0.11
4.82,-1.05,0.00,-0.04
4.87,-1.02,0.01,-0.06
4.93,-0.94,0.00,-0.09
4.98,-1.00,0.00,-0.07
5.03,-0.95,0.01,-0.05
5.09,-0.93,0.00,-0.04
5.14,-0.93,0.02,-0.06
5.19,-1.02,0.01,-0.09
5.25,-1.00,-0.00,-0.06
5.30,-1.01,-0.04,-0.03
5.35,-1.02,-0.01,-0.06
5.41,-0.96,0.01,-0.10
5.46,-1.04,-0.00,-0.12
5.51,-0.96,-0.00,-0.09
5.57,-0.96,-0.01,-0.04
5.62,-1.01,-0.04,-0.05
5.67,-1.03,-0.03,-0.08
5.73,-0.94,0.03,-0.09
5.78,-1.03,-0.00,-0.09
5.83,-1.08,-0.02,-0.06
5.89,-0.90,-0.03,-0.09
5.94,-0.99,-0.03,-0.03
5.99,-1.00,-0.03,-0.09
6.05,-1.04,-0.05,-0.08
6.10,-0.97,0.06,-0.05
6.15,-1.04,0.05,-0.07
6.21,-0.93,-0.00,-0.05
6.26,-1.00,-0.04,-0.05
6.31,-1.01,-0.02,-0.07
6.37,-0.91,0.03,-0.03
6.42,-1.02,0.01,-0.09
6.47,-1.01,0.01,-0.07
6.53,-0.93,-0.00,-0.03
6.58,-1.06,0.01,-0.03
6.63,-1.00,0.02,-0.08
6.69,-0.96,0.06,-0.05
6.74,-1.03,-0.01,-0.07
6.79,-1.06,-0.03,-0.07
6.85,-0.83,0.04,-0.05
6.90,-1.00,0.01,-0.07
6.95,-1.00,-0.05,-0.11
7.01,-0.93,0.00,-0.07
7.06,-1.07,-0.03,-0.03
7.11,-0.95,0.01,-0.09
7.17,-0.86,-0.00,-0.05
7.22,-1.07,-0.02,-0.06
7.27,-1.02,-0.03,-0.11
7.33,-0.79,0.03,-0.06
7.38,-1.07,-0.03,-0.07
7.43,-0.93,-0.02,-0.10
7.49,-0.94,-0.01,-0.05
7.54,-1.00,-0.02,-0.06
7.59,-0.91,0.00,-0.08
7.65,-1.01,0.03,-0.11
7.70,-1.03,0.02,-0.07
7.75,-0.98,0.01,-0.02
7.80,-1.03,-0.03,-0.03
7.86,-0.97,0.04,-0.10
