Time,Ax,Ay,Az
0.00,-0.98,-0.00,-0.09
0.08,-0.98,0.00,-0.08
0.13,-0.98,0.00,-0.08
0.18,-0.98,-0.00,-0.09
0.23,-0.99,0.00,-0.09
0.29,-0.98,0.00,-0.09
0.34,-0.98,-0.00,-0.09
0.40,-0.98,0.00,-0.09
0.45,-0.98,0.00,-0.09
0.50,-0.98,0.00,-0.09
0.55,-0.98,0.00,-0.09
0.61,-0.98,0.00,-0.08
0.66,-0.98,0.00,-0.09
0.71,-0.98,0.00,-0.09
0.77,-0.98,0.00,-0.08
0.82,-0.98,0.00,-0.08
0.87,-0.98,0.00,-0.09
0.93,-0.98,0.01,-0.09
0.98,-0.98,0.00,-0.09
1.03,-0.98,0.00,-0.09
1.09,-0.98,0.00,-0.09
1.14,-0.98,0.00,-0.09
1.20,-0.98,0.00,-0.09
1.25,-0.98,0.00,-0.09
1.30,-0.98,0.00,-0.09
1.35,-0.98,0.00,-0.09
1.41,-0.98,0.00,-0.09
1.46,-0.98,0.00,-0.08
1.51,-0.98,0.00,-0.09
1.57,-0.98,0.01,-0.09
1.62,-0.98,0.00,-0.08
1.67,-0.98,0.00,-0.09
1.73,-0.98,0.00,-0.09
1.78,-0.98,-0.00,-0.09
1.83,-0.98,0.00,-0.09
1.89,-0.98,0.00,-0.09
1.94,-0.98,0.00,-0.09
1.99,-0.98,0.00,-0.09
2.05,-0.98,0.00,-0.09
2.10,-0.98,0.00,-0.09
2.15,-0.98,0.00,-0.09
2.21,-0.98,0.00,-0.09
2.26,-0.98,0.00,-0.08
2.31,-0.98,0.00,-0.09
2.37,-0.98,0.00,-0.09
2.42,-0.99,0.01,-0.09
2.47,-0.98,0.00,-0.09
2.53,-0.98,0.01,-0.08
2.58,-0.87,-0.01,-0.07
2.63,-0.93,-0.02,-0.07
2.69,-0.88,-0.03,-0.05
2.74,-1.75,-0.08,-0.07
2.79,-0.88,0.01,-0.12
2.85,-0.94,-0.01,-0.10
2.90,-0.95,0.01,-0.08
2.95,-0.99,0.02,-0.04
3.01,-0.99,-0.09,-0.13
3.06,-0.93,-0.00,-0.07
3.11,-0.98,-0.01,0.00
3.17,-1.02,0.01,-0.09
3.22,-0.99,0.00,-0.09
3.27,-0.99,0.01,-0.07
3.33,-0.99,0.01,-0.06
3.38,-0.95,-0.02,-0.06
3.43,-0.95,-0.01,-0.09
3.49,-0.96,-0.03,-0.13
3.54,-0.96,-0.03,-0.13
3.59,-0.98,0.02,-0.10
3.65,-1.07,-0.01,-0.01
3.70,-0.94,0.07,0.00
3.75,-0.98,-0.01,-0.04
3.81,-1.05,0.06,-0.09
3.86,-1.00,-0.02,-0.08
3.91,-0.97,0.02,-0.08
3.97,-1.01,0.01,-0.08
4.02,-1.00,0.02,-0.10
4.07,-0.97,0.05,-0.01
4.13,-0.96,-0.03,-0.10
4.18,-0.97,-0.02,-0.10
4.23,-1.01,0.03,-0.07
4.29,-0.95,-0.01,-0.07
4.34,-0.94,-0.06,-0.10
4.39,-1.03,-0.01,-0.05
4.45,-0.96,0.04,-0.10
4.50,-1.00,0.00,-0.09
4.55,-0.99,0.00,-0.07
4.61,-0.95,0.01,-0.09
4.66,-0.97,0.00,-0.08
4.71,-0.95,-0.00,-0.11
4.77,-0.99,-0.06,-0.07
4.82,-0.98,0.03,-0.07
4.87,-1.01,0.03,-0.14
4.93,-1.00,0.04,-0.07
4.98,-0.96,0.01,-0.10
5.03,-1.03,-0.02,-0.07
5.09,-1.04,-0.00,-0.00
5.14,-1.02,-0.04,-0.12
5.19,-0.96,0.04,-0.08
5.25,-0.99,-0.01,-0.07
5.30,-0.97,0.02,-0.09
5.35,-0.99,0.01,-0.10
5.41,-1.01,-0.05,-0.10
5.46,-0.93,0.02,-0.10
5.51,-0.96,-0.01,-0.07
5.57,-1.01,0.02,-0.07
5.62,-0.99,0.01,-0.09
5.67,-0.98,0.01,-0.12
5.73,-1.04,0.02,-0.05
5.78,-0.96,0.03,-0.11
5.83,-1.02,-0.02,-0.07
5.89,-1.02,0.03,-0.12
5.94,-1.01,0.00,-0.10
5.99,-0.97,0.05,-0.09
6.05,-1.04,0.01,-0.06
6.10,-0.94,0.00,-0.10
6.15,-0.97,-0.04,-0.11
6.21,-0.95,0.00,-0.06
6.26,-0.96,0.00,-0.07
6.31,-0.97,-0.01,-0.09
6.37,-0.98,-0.03,-0.07
6.42,-0.99,-0.05,-0.09
