Time,Ax,Ay,Az
0.00,-0.97,-0.01,-0.13
0.08,-0.98,-0.00,-0.13
0.13,-0.98,-0.01,-0.12
0.18,-0.98,-0.00,-0.13
0.23,-0.98,-0.01,-0.13
0.29,-0.98,-0.00,-0.12
0.34,-0.98,-0.01,-0.13
0.40,-0.97,-0.01,-0.13
0.45,-0.98,-0.01,-0.13
0.50,-0.98,-0.01,-0.13
0.55,-0.98,-0.01,-0.13
0.61,-0.98,-0.01,-0.12
0.66,-0.98,-0.01,-0.13
0.71,-0.98,-0.00,-0.13
0.77,-0.98,-0.00,-0.13
0.82,-0.98,-0.01,-0.13
0.88,-0.97,-0.01,-0.13
0.93,-0.98,-0.00,-0.13
0.98,-0.98,-0.01,-0.13
1.03,-0.98,-0.01,-0.13
1.09,-0.98,-0.00,-0.13
1.14,-0.98,-0.00,-0.13
1.20,-0.98,-0.01,-0.13
1.25,-0.98,-0.01,-0.13
1.30,-0.98,0.00,-0.13
1.35,-0.98,-0.01,-0.13
1.41,-0.97,-0.01,-0.13
1.46,-0.98,-0.01,-0.13
1.51,-0.98,-0.01,-0.13
1.57,-0.98,-0.00,-0.12
1.62,-0.97,-0.00,-0.13
1.67,-0.98,-0.00,-0.13
1.73,-0.98,-0.00,-0.12
1.78,-0.98,-0.00,-0.13
1.84,-0.98,-0.01,-0.13
1.89,-0.98,-0.01,-0.13
1.94,-0.98,-0.00,-0.13
1.99,-0.98,-0.00,-0.13
2.05,-0.98,-0.00,-0.13
2.10,-0.98,-0.00,-0.13
2.15,-0.98,-0.01,-0.13
2.21,-0.98,-0.00,-0.13
2.26,-0.98,-0.00,-0.13
2.32,-0.98,-0.01,-0.13
2.37,-0.97,-0.00,-0.13
2.42,-0.98,-0.01,-0.13
2.48,-0.97,-0.01,-0.13
2.53,-0.98,-0.01,-0.13
2.58,-0.98,-0.01,-0.13
2.63,-0.97,-0.01,-0.13
2.69,-0.98,-0.01,-0.13
2.74,-0.98,-0.00,-0.13
2.79,-0.98,-0.01,-0.13
2.85,-0.98,-0.00,-0.13
2.90,-0.98,-0.00,-0.13
2.96,-0.98,-0.00,-0.13
3.01,-0.98,-0.01,-0.13
3.06,-0.98,-0.00,-0.13
3.12,-0.98,-0.01,-0.12
3.17,-0.98,-0.01,-0.13
3.22,-0.98,-0.00,-0.13
3.27,-0.97,-0.01,-0.13
3.33,-0.98,-0.01,-0.12
3.38,-0.98,-0.00,-0.13
3.43,-0.98,-0.01,-0.13
3.49,-0.98,-0.00,-0.13
3.54,-0.98,-0.00,-0.13
3.60,-0.98,-0.00,-0.13
3.65,-0.98,-0.00,-0.13
3.70,-0.98,-0.00,-0.13
3.76,-0.98,0.00,-0.13
3.81,-0.98,-0.00,-0.13
3.86,-0.98,-0.01,-0.13
3.91,-0.98,-0.01,-0.13
3.97,-0.98,-0.01,-0.13
4.02,-0.98,-0.01,-0.13
4.07,-0.97,-0.00,-0.13
4.13,-0.98,-0.00,-0.13
4.18,-0.98,-0.01,-0.13
4.23,-0.98,-0.00,-0.13
4.29,-0.98,-0.00,-0.13
4.34,-0.98,-0.01,-0.13
4.40,-0.98,-0.00,-0.13
4.45,-0.98,-0.00,-0.13
4.50,-0.98,-0.01,-0.13
4.55,-0.98,-0.01,-0.13
4.61,-0.98,-0.00,-0.13
4.66,-0.98,-0.01,-0.13
4.71,-0.98,-0.01,-0.13
4.77,-0.98,-0.01,-0.12
4.82,-0.98,-0.01,-0.13
4.87,-0.98,-0.00,-0.13
4.93,-0.98,-0.00,-0.13
4.98,-0.98,-0.00,-0.13
5.03,-0.98,-0.01,-0.13
5.09,-0.98,-0.00,-0.13
5.14,-0.98,-0.01,-0.13
5.19,-0.98,-0.01,-0.13
5.25,-0.98,-0.01,-0.13
5.30,-0.97,-0.01,-0.13
5.35,-0.98,-0.01,-0.13
5.41,-0.98,-0.01,-0.13
5.46,-0.98,-0.00,-0.13
5.51,-0.98,-0.01,-0.13
5.57,-0.98,-0.01,-0.13
5.62,-0.98,0.00,-0.13
5.68,-0.98,-0.01,-0.13
5.73,-0.98,-0.01,-0.13
5.78,-0.98,-0.01,-0.13
5.83,-0.98,-0.01,-0.13
5.89,-0.98,-0.00,-0.13
5.94,-0.98,-0.01,-0.13
5.99,-0.98,-0.00,-0.13
6.05,-0.98,-0.00,-0.13
6.10,-0.98,-0.01,-0.13
6.15,-0.98,-0.00,-0.13
6.21,-0.97,-0.00,-0.13
6.26,-0.98,-0.01,-0.13
6.31,-0.98,-0.00,-0.13
6.37,-0.98,-0.00,-0.13
6.42,-0.98,-0.00,-0.13
6.47,-0.98,-0.01,-0.13
6.53,-0.98,-0.00,-0.13
6.58,-0.97,-0.00,-0.13
6.63,-0.98,-0.01,-0.13
6.69,-0.98,-0.00,-0.13
6.74,-0.98,-0.01,-0.13
6.79,-0.98,-0.00,-0.13
6.85,-0.98,-0.00,-0.13
6.90,-0.98,-0.01,-0.13
6.95,-0.98,-0.00,-0.13
7.01,-0.98,-0.00,-0.13
7.06,-0.98,-0.00,-0.13
7.11,-0.98,-0.00,-0.13
7.17,-0.98,-0.01,-0.13
7.22,-0.98,-0.01,-0.13
7.27,-0.98,-0.00,-0.13
7.33,-0.98,-0.00,-0.13
7.38,-0.98,-0.00,-0.13
7.43,-0.98,-0.00,-0.13
7.49,-0.98,-0.00,-0.13
7.54,-0.98,-0.01,-0.13
7.59,-0.98,-0.01,-0.13
7.65,-0.98,-0.00,-0.13
7.70,-0.98,-0.00,-0.13
7.75,-0.98,-0.01,-0.13
7.81,-0.98,-0.00,-0.13
7.86,-0.97,-0.00,-0.12
7.91,-0.99,0.00,-0.13
7.97,-0.99,-0.01,-0.14
8.02,-0.99,-0.00,-0.15
8.07,-0.98,-0.00,-0.14
8.13,-0.96,0.00,-0.10
8.18,-0.99,-0.00,-0.16
8.23,-0.96,-0.02,-0.13
8.29,-0.97,0.00,-0.12
8.34,-0.97,-0.01,-0.14
8.39,-0.97,-0.01,-0.12
8.45,-0.99,0.01,-0.13
8.50,-0.98,-0.00,-0.13
8.55,-0.97,-0.01,-0.12
8.61,-0.94,0.01,-0.06
8.66,-0.98,0.00,-0.12
8.71,-0.97,-0.01,-0.11
8.77,-0.97,0.01,-0.11
8.82,-0.97,-0.01,-0.12
8.87,-0.97,0.00,-0.11
8.93,-0.99,-0.01,-0.15
8.98,-0.97,-0.00,-0.12
9.03,-0.98,-0.01,-0.13
9.09,-0.98,-0.00,-0.14
9.14,-0.98,-0.01,-0.13
9.19,-1.00,-0.01,-0.15
9.25,-0.98,-0.02,-0.15
9.30,-0.98,-0.01,-0.13
9.35,-0.98,-0.00,-0.12
9.41,-1.00,-0.00,-0.14
9.46,-0.98,0.00,-0.13
9.51,-1.03,-0.01,-0.16
9.57,-0.96,-0.01,-0.12
9.62,-0.98,0.01,-0.11
9.67,-0.97,0.01,-0.10
9.73,-1.02,-0.00,-0.15
9.78,-1.01,-0.00,-0.16
9.83,-0.99,-0.02,-0.14
9.89,-0.98,0.00,-0.15
9.94,-0.97,-0.00,-0.10
9.99,-1.00,0.00,-0.14
10.05,-0.99,-0.02,-0.14
10.10,-0.96,0.00,-0.13
10.15,-0.88,-0.01,-0.14
10.21,-1.01,-0.01,-0.19
10.26,-0.97,-0.00,-0.14
10.31,-0.89,-0.04,-0.15
10.37,-1.06,-0.02,-0.16
10.42,-0.89,0.05,-0.08
10.47,-1.21,0.02,0.02
10.53,-0.92,0.01,-0.05
10.58,-0.99,-0.07,-0.02
10.63,-0.87,-0.00,-0.03
10.69,-0.96,-0.10,-0.02
10.74,-1.19,-0.06,-0.13
10.79,-0.93,0.00,-0.08
10.85,-1.07,0.05,-0.12
10.90,-0.88,0.08,-0.12
10.95,-0.89,-0.00,-0.09
11.01,-1.20,0.03,-0.16
11.06,-0.91,0.03,-0.11
11.11,-1.11,-0.03,-0.12
11.17,-1.04,0.02,-0.14
11.22,-1.00,0.10,-0.17
11.27,-1.02,-0.12,0.01
11.33,-1.02,-0.03,-0.17
11.38,-1.00,0.02,-0.10
11.44,-0.83,-0.03,-0.03
11.49,-0.93,0.00,-0.06
11.54,-1.03,-0.06,-0.07
11.59,-0.96,-0.01,-0.07
11.65,-1.01,0.01,-0.09
11.70,-0.84,0.02,-0.10
11.75,-0.85,-0.00,-0.05
11.81,-1.07,0.01,-0.09
11.86,-0.90,-0.03,-0.09
11.92,-0.92,0.04,-0.12
11.97,-0.83,-0.01,-0.09
12.02,-0.98,0.01,-0.10
12.07,-0.76,0.01,-0.02
12.13,-1.32,-0.04,-0.14
12.18,-0.95,-0.01,-0.04
12.23,-0.96,0.03,-0.07
12.29,-0.99,-0.01,-0.13
12.34,-0.89,0.01,-0.06
12.40,-0.82,0.02,-0.04
12.45,-1.08,-0.00,-0.12
12.50,-0.93,0.02,-0.14
12.56,-0.72,0.01,-0.00
12.61,-1.27,-0.05,-0.13
12.66,-1.13,0.00,-0.09
12.72,-0.74,-0.02,-0.18
12.77,-1.24,-0.01,-0.12
12.82,-0.99,0.03,-0.02
12.88,-0.89,-0.05,-0.15
12.93,-1.22,-0.01,-0.15
12.98,-0.91,-0.01,-0.06
13.03,-1.11,-0.02,-0.11
13.09,-1.06,-0.02,-0.11
13.14,-0.88,0.00,-0.09
13.20,-0.85,-0.02,-0.09
13.25,-0.97,-0.03,-0.09
13.30,-0.83,0.00,-0.04
13.36,-1.08,-0.03,-0.09
13.41,-1.07,-0.03,-0.08
13.46,-0.95,-0.01,-0.07
13.52,-1.19,-0.05,-0.10
13.57,-1.06,0.03,-0.11
13.62,-0.86,-0.03,-0.03
13.68,-1.10,-0.04,-0.09
13.73,-1.23,-0.03,-0.12
13.78,-0.93,0.08,-0.12
13.84,-1.28,-0.01,-0.11
13.89,-1.13,0.02,-0.12
13.94,-0.81,0.01,-0.07
14.00,-1.01,0.00,-0.11
14.05,-1.05,0.06,-0.12
14.10,-0.64,0.03,-0.02
14.16,-1.10,0.00,-0.08
14.21,-1.27,0.05,-0.17
14.26,-0.69,-0.00,0.02
14.32,-1.14,0.01,-0.15
14.37,-0.99,0.08,-0.12
14.42,-0.73,-0.01,0.03
14.48,-0.65,0.07,-0.20
14.53,-1.07,0.03,-0.08
14.58,-0.79,-0.04,-0.05
14.64,-0.84,-0.01,-0.10
14.69,-1.26,0.04,-0.15
14.74,-0.74,-0.02,-0.01
14.80,-0.99,-0.00,-0.13
14.85,-0.95,-0.00,-0.06
