Time,Ax,Ay,Az
0.00,-0.98,-0.00,-0.14
0.08,-0.98,0.00,-0.13
0.13,-0.98,-0.00,-0.14
0.18,-0.98,0.00,-0.14
0.23,-0.97,0.00,-0.13
0.29,-0.98,0.00,-0.14
0.34,-0.98,0.00,-0.14
0.40,-0.97,-0.00,-0.14
0.45,-0.98,0.00,-0.13
0.50,-0.98,0.00,-0.14
0.55,-0.97,0.00,-0.14
0.61,-0.97,0.00,-0.14
0.66,-0.98,0.00,-0.13
0.71,-0.98,-0.00,-0.14
0.77,-0.98,0.01,-0.14
0.82,-0.98,0.00,-0.14
0.87,-0.97,-0.00,-0.14
0.93,-0.98,-0.00,-0.14
0.98,-0.98,0.00,-0.14
1.03,-0.97,0.00,-0.14
1.09,-0.98,-0.00,-0.14
1.14,-0.98,-0.00,-0.14
1.20,-0.97,-0.00,-0.14
1.25,-0.98,0.00,-0.14
1.30,-0.98,-0.00,-0.14
1.35,-0.98,0.00,-0.14
1.41,-0.98,0.00,-0.14
1.46,-0.98,-0.00,-0.14
1.51,-0.97,0.00,-0.14
1.57,-0.97,0.00,-0.14
1.62,-0.98,-0.00,-0.14
1.67,-0.98,0.00,-0.14
1.73,-0.98,0.00,-0.14
1.78,-0.98,0.00,-0.14
1.84,-0.98,-0.00,-0.14
1.89,-0.98,0.00,-0.14
1.94,-0.98,0.00,-0.14
1.99,-0.98,-0.00,-0.14
2.05,-0.97,0.00,-0.14
2.10,-0.98,-0.01,-0.14
2.15,-0.97,-0.00,-0.14
2.21,-0.98,-0.00,-0.13
2.26,-0.98,-0.00,-0.14
2.31,-0.97,-0.00,-0.13
2.37,-0.98,0.00,-0.14
2.42,-0.98,-0.00,-0.14
2.47,-0.98,0.00,-0.14
2.53,-0.98,0.00,-0.14
2.58,-0.98,0.00,-0.13
2.63,-0.98,0.00,-0.14
2.69,-0.97,0.00,-0.13
2.74,-0.98,0.00,-0.14
2.79,-0.98,-0.00,-0.14
2.85,-0.98,0.00,-0.14
2.90,-0.98,0.00,-0.14
2.95,-0.98,-0.00,-0.13
3.01,-0.98,0.00,-0.14
3.06,-0.98,-0.00,-0.14
3.11,-0.97,0.00,-0.14
3.17,-0.98,-0.00,-0.14
3.22,-0.98,-0.00,-0.13
3.27,-0.98,-0.00,-0.14
3.33,-0.98,-0.00,-0.13
3.38,-0.98,-0.00,-0.14
3.43,-0.98,0.00,-0.13
3.49,-0.98,0.00,-0.14
3.54,-0.97,-0.00,-0.14
3.59,-0.98,-0.00,-0.13
3.65,-0.97,0.00,-0.14
3.70,-0.98,0.00,-0.14
3.75,-0.98,0.00,-0.14
3.81,-0.98,0.00,-0.14
3.86,-0.98,-0.00,-0.14
3.91,-0.98,-0.00,-0.14
3.97,-0.98,-0.00,-0.14
4.02,-0.98,-0.00,-0.14
4.07,-0.98,0.00,-0.14
4.13,-0.98,0.00,-0.14
4.18,-0.98,-0.00,-0.14
4.23,-0.98,0.00,-0.14
4.29,-0.98,-0.00,-0.14
4.34,-0.98,0.00,-0.14
4.39,-0.98,-0.00,-0.14
4.45,-0.98,0.00,-0.14
4.50,-0.98,-0.00,-0.14
4.55,-0.98,0.00,-0.14
4.61,-0.98,-0.00,-0.14
4.66,-0.98,0.00,-0.14
4.71,-0.98,0.00,-0.14
4.77,-0.97,0.00,-0.14
4.82,-0.98,-0.00,-0.14
4.87,-0.98,0.00,-0.13
4.93,-0.98,-0.00,-0.14
4.98,-0.98,-0.00,-0.13
5.03,-0.97,-0.00,-0.14
5.09,-0.98,-0.00,-0.14
5.14,-0.97,0.00,-0.13
5.19,-0.98,-0.00,-0.14
5.25,-0.98,0.00,-0.14
5.30,-0.98,0.00,-0.14
5.35,-0.98,0.00,-0.14
5.41,-0.98,0.00,-0.13
5.46,-0.98,-0.00,-0.14
5.51,-0.98,-0.00,-0.13
5.57,-0.98,-0.00,-0.14
5.62,-0.98,0.00,-0.14
5.67,-0.98,0.00,-0.14
5.73,-0.98,-0.00,-0.13
5.78,-0.98,0.00,-0.13
5.83,-0.98,0.00,-0.14
5.89,-0.98,0.00,-0.14
5.94,-0.98,-0.00,-0.13
5.99,-0.98,0.00,-0.13
6.05,-0.98,-0.00,-0.13
6.10,-0.98,-0.00,-0.14
6.15,-0.98,-0.00,-0.14
6.21,-0.98,-0.00,-0.14
6.26,-0.98,0.00,-0.14
6.31,-0.98,0.00,-0.14
6.37,-0.98,-0.00,-0.14
6.42,-0.98,0.00,-0.14
6.47,-0.98,-0.00,-0.14
6.53,-0.98,-0.00,-0.14
6.58,-0.98,0.00,-0.14
6.63,-0.98,-0.00,-0.13
6.69,-0.98,0.00,-0.14
6.74,-0.97,0.00,-0.14
6.79,-0.98,0.00,-0.14
6.85,-0.98,0.00,-0.14
6.90,-0.98,0.00,-0.13
6.95,-0.97,0.01,-0.14
7.01,-0.97,-0.00,-0.14
7.06,-0.98,-0.00,-0.14
7.11,-0.98,-0.00,-0.14
7.17,-0.97,-0.00,-0.13
7.22,-0.98,0.00,-0.14
7.27,-0.97,0.00,-0.13
7.33,-0.98,0.00,-0.14
7.38,-0.98,-0.01,-0.13
7.43,-0.97,-0.00,-0.13
7.49,-0.98,0.00,-0.14
7.54,-0.98,0.00,-0.14
7.59,-0.98,0.00,-0.14
7.65,-0.98,0.01,-0.14
7.70,-0.98,0.00,-0.14
7.75,-0.97,0.01,-0.14
7.80,-0.98,-0.00,-0.14
7.86,-0.97,-0.00,-0.13
7.91,-0.98,0.00,-0.14
7.97,-0.97,0.01,-0.14
8.02,-0.99,0.00,-0.14
8.07,-1.00,0.00,-0.16
8.13,-0.99,-0.01,-0.14
8.18,-0.97,0.01,-0.14
8.23,-0.98,0.00,-0.13
8.29,-0.98,0.00,-0.12
8.34,-0.97,0.01,-0.12
8.39,-0.99,-0.00,-0.15
8.44,-0.97,0.00,-0.14
8.50,-0.98,0.00,-0.16
8.55,-0.97,-0.01,-0.14
8.60,-0.99,0.00,-0.15
8.66,-0.99,0.01,-0.15
8.71,-1.00,-0.01,-0.15
8.77,-0.97,0.00,-0.13
8.82,-0.97,-0.00,-0.12
8.87,-0.98,0.01,-0.13
8.93,-0.94,0.01,-0.10
8.98,-0.98,0.00,-0.11
9.03,-0.98,0.00,-0.14
9.09,-0.99,0.01,-0.14
9.14,-1.00,-0.00,-0.16
9.19,-0.98,0.01,-0.16
9.25,-0.93,-0.03,-0.12
9.30,-0.96,0.01,-0.13
9.35,-0.98,-0.00,-0.18
9.40,-0.99,-0.01,-0.14
9.46,-0.99,0.01,-0.14
9.51,-0.98,0.00,-0.10
9.57,-0.98,-0.01,-0.10
9.62,-1.01,-0.00,-0.15
9.67,-0.99,0.01,-0.15
9.73,-0.96,0.01,-0.10
9.78,-1.01,0.02,-0.18
9.83,-0.99,0.01,-0.15
9.89,-1.01,0.01,-0.27
9.94,-0.85,0.01,-0.10
9.99,-1.01,-0.01,-0.15
10.05,-0.95,-0.02,-0.01
10.10,-1.00,-0.02,-0.05
10.15,-1.03,-0.00,0.02
10.21,-0.93,-0.05,-0.12
10.26,-1.04,0.02,-0.09
10.31,-0.82,0.01,-0.05
10.36,-1.16,-0.04,-0.19
10.42,-1.00,0.03,-0.09
10.47,-1.12,0.02,-0.14
10.52,-1.01,-0.06,-0.13
10.58,-0.89,0.08,-0.09
10.63,-0.90,-0.01,-0.09
10.69,-0.97,-0.05,-0.10
10.74,-0.91,0.01,-0.07
10.79,-0.87,-0.07,-0.05
10.85,-1.12,-0.02,-0.18
10.90,-0.92,0.08,-0.11
10.95,-0.80,-0.06,-0.04
11.01,-1.05,0.04,-0.08
11.06,-0.92,-0.00,-0.09
11.11,-0.85,-0.04,-0.04
11.17,-1.01,-0.02,-0.08
11.22,-0.91,-0.02,-0.13
11.27,-0.95,0.03,-0.14
11.33,-0.99,-0.03,-0.11
11.38,-0.80,0.04,-0.08
11.43,-1.11,-0.01,-0.12
11.49,-0.83,-0.03,-0.19
11.54,-1.22,0.06,-0.09
11.59,-1.05,0.02,-0.12
11.65,-1.16,-0.02,-0.12
11.70,-1.00,-0.03,-0.07
11.75,-1.30,0.13,-0.54
11.81,-0.88,0.02,-0.12
11.86,-0.95,-0.02,-0.10
11.91,-0.98,0.02,-0.09
11.97,-1.15,-0.04,-0.10
12.02,-0.87,-0.05,-0.06
12.07,-1.03,-0.03,-0.06
12.13,-1.34,-0.03,-0.11
12.18,-0.75,0.03,-0.09
12.23,-1.04,-0.02,-0.10
12.29,-1.03,0.03,-0.05
12.34,-0.71,0.04,-0.07
12.39,-1.06,-0.04,-0.09
12.45,-1.02,0.01,-0.09
12.50,-0.61,0.06,-0.05
