Time,Ax,Ay,Az
0.00,-0.99,0.03,-0.07
0.07,-0.98,0.03,-0.07
0.13,-0.98,0.03,-0.07
0.18,-0.98,0.03,-0.07
0.23,-0.98,0.03,-0.07
0.29,-0.98,0.03,-0.07
0.34,-0.98,0.03,-0.07
0.39,-0.98,0.03,-0.07
0.45,-0.99,0.03,-0.07
0.50,-0.98,0.03,-0.07
0.55,-0.98,0.03,-0.07
0.61,-0.98,0.03,-0.08
0.66,-0.98,0.03,-0.07
0.71,-0.99,0.03,-0.07
0.77,-0.99,0.03,-0.07
0.82,-0.98,0.03,-0.07
0.87,-0.98,0.03,-0.07
0.93,-0.98,0.03,-0.07
0.98,-0.98,0.03,-0.07
1.03,-0.98,0.03,-0.07
1.09,-0.98,0.03,-0.07
1.14,-0.98,0.03,-0.07
1.19,-0.98,0.03,-0.07
1.25,-0.98,0.03,-0.08
1.30,-0.99,0.03,-0.07
1.35,-0.99,0.03,-0.07
1.41,-0.99,0.02,-0.07
1.46,-0.98,0.03,-0.07
1.51,-0.99,0.03,-0.07
1.57,-0.99,0.03,-0.07
1.62,-0.99,0.03,-0.07
1.67,-0.99,0.03,-0.07
1.73,-0.98,0.03,-0.07
1.78,-0.99,0.03,-0.07
1.83,-0.99,0.03,-0.08
1.89,-0.98,0.03,-0.07
1.94,-0.98,0.03,-0.07
1.99,-0.98,0.03,-0.07
2.05,-0.98,0.03,-0.08
2.10,-0.98,0.03,-0.07
2.15,-0.71,-0.02,-0.10
2.21,-0.93,0.06,-0.09
2.26,-0.89,0.02,-0.09
2.31,-0.86,0.00,-0.11
2.37,-1.31,0.04,-0.19
2.42,-0.84,-0.03,-0.00
2.47,-0.87,-0.02,-0.03
2.53,-0.90,0.07,-0.11
2.58,-1.05,0.04,-0.07
2.63,-0.98,0.02,-0.07
2.69,-1.02,0.05,-0.08
2.74,-1.02,0.11,-0.10
2.79,-0.99,-0.00,-0.07
2.85,-0.95,0.01,-0.05
2.90,-0.97,0.01,-0.05
2.95,-0.95,0.03,-0.14
3.01,-0.96,0.03,-0.09
3.06,-0.99,0.07,-0.14
3.11,-0.92,0.02,-0.05
3.17,-0.99,0.05,-0.07
3.22,-1.04,0.02,-0.09
3.27,-0.96,0.01,-0.08
3.33,-0.99,0.03,-0.08
3.38,-0.89,0.02,-0.16
3.43,-1.02,0.06,-0.01
3.49,-1.00,0.05,-0.10
3.54,-0.93,-0.01,-0.08
3.59,-1.04,0.03,-0.05
3.65,-0.98,0.03,-0.03
3.70,-1.01,0.04,-0.06
