Time,Ax,Ay,Az
0.00,-0.98,0.04,-0.08
0.07,-0.98,0.04,-0.08
0.13,-0.98,0.03,-0.08
0.18,-0.98,0.03,-0.08
0.23,-0.98,0.03,-0.09
0.29,-0.98,0.04,-0.08
0.34,-0.98,0.04,-0.08
0.39,-0.98,0.03,-0.09
0.45,-0.98,0.03,-0.08
0.50,-0.98,0.03,-0.08
0.55,-0.98,0.03,-0.08
0.61,-0.98,0.03,-0.08
0.66,-0.98,0.04,-0.09
0.71,-0.98,0.03,-0.08
0.77,-0.98,0.04,-0.08
0.82,-0.98,0.04,-0.08
0.87,-0.98,0.04,-0.08
0.93,-0.98,0.04,-0.09
0.98,-0.98,0.04,-0.08
1.03,-0.98,0.03,-0.08
1.09,-0.98,0.03,-0.08
1.14,-0.98,0.04,-0.08
1.19,-0.98,0.03,-0.08
1.25,-0.98,0.04,-0.08
1.30,-0.98,0.04,-0.09
1.35,-0.98,0.03,-0.08
1.41,-0.98,0.04,-0.08
1.46,-0.98,0.03,-0.08
1.51,-0.98,0.03,-0.09
1.57,-0.98,0.03,-0.08
1.62,-0.98,0.03,-0.09
1.67,-0.98,0.04,-0.08
1.73,-0.98,0.03,-0.08
1.78,-0.98,0.04,-0.08
1.83,-0.77,0.06,0.01
1.89,-0.82,0.03,-0.09
1.94,-0.85,0.02,-0.08
1.99,-1.08,0.08,-0.10
2.05,-0.84,0.02,-0.10
2.10,-0.88,0.05,-0.13
2.15,-1.10,0.03,-0.07
2.21,-0.89,0.01,-0.04
2.26,-1.10,0.07,-0.10
2.31,-0.92,0.05,-0.08
2.37,-0.99,0.01,-0.06
2.42,-1.05,0.02,0.02
2.47,-1.05,0.05,-0.02
2.53,-0.95,0.05,-0.08
2.58,-1.00,0.02,-0.08
2.63,-0.98,0.04,-0.02
2.69,-0.98,0.02,-0.08
2.74,-0.98,0.03,-0.06
2.79,-1.03,0.02,-0.10
2.85,-0.87,0.00,-0.01
2.90,-0.99,0.06,-0.12
2.95,-1.03,0.04,-0.14
3.01,-1.00,0.05,-0.08
3.06,-1.00,0.03,-0.09
3.11,-0.93,0.03,-0.10
3.17,-0.98,-0.04,0.05
3.22,-0.97,0.04,-0.11
3.27,-1.06,0.04,-0.09
3.33,-0.96,0.05,-0.11
3.38,-0.99,0.02,-0.10
3.43,-1.03,0.04,-0.08
