Time,Ax,Ay,Az
0.00,-0.98,0.03,-0.14
0.07,-0.98,0.03,-0.14
0.13,-0.98,0.03,-0.14
0.18,-0.98,0.03,-0.14
0.23,-0.98,0.03,-0.13
0.29,-0.98,0.03,-0.14
0.34,-0.98,0.03,-0.14
0.39,-0.98,0.03,-0.14
0.45,-0.97,0.03,-0.14
0.50,-0.98,0.03,-0.14
0.55,-0.98,0.03,-0.14
0.61,-0.98,0.03,-0.14
0.66,-0.98,0.03,-0.14
0.71,-0.98,0.03,-0.14
0.77,-0.98,0.03,-0.14
0.82,-0.98,0.03,-0.14
0.87,-0.98,0.03,-0.14
0.93,-0.98,0.03,-0.14
0.98,-0.98,0.03,-0.14
1.03,-0.97,0.03,-0.14
1.09,-0.98,0.03,-0.14
1.14,-0.98,0.03,-0.13
1.19,-0.98,0.03,-0.14
1.25,-0.98,0.03,-0.13
1.30,-0.98,0.03,-0.14
1.35,-0.98,0.03,-0.14
1.41,-0.98,0.03,-0.14
1.46,-0.98,0.03,-0.14
1.51,-0.98,0.03,-0.14
1.57,-0.98,0.03,-0.14
1.62,-0.98,0.03,-0.14
1.67,-0.97,0.03,-0.14
1.73,-0.98,0.03,-0.14
1.78,-0.98,0.03,-0.14
1.83,-0.98,0.03,-0.14
1.89,-0.98,0.03,-0.14
1.94,-0.98,0.03,-0.14
1.99,-0.97,0.03,-0.14
2.05,-0.98,0.03,-0.14
2.10,-0.98,0.03,-0.14
2.15,-0.98,0.03,-0.14
2.21,-0.98,0.03,-0.14
2.26,-0.98,0.03,-0.14
2.31,-0.97,0.04,-0.14
2.37,-0.98,0.03,-0.14
2.42,-0.97,0.03,-0.14
2.47,-0.98,0.03,-0.14
2.53,-0.98,0.03,-0.14
2.58,-0.98,0.04,-0.13
2.63,-0.98,0.03,-0.14
2.69,-0.98,0.03,-0.14
2.74,-0.98,0.03,-0.14
2.79,-0.98,0.03,-0.14
2.85,-0.98,0.03,-0.14
2.90,-0.98,0.03,-0.14
2.95,-0.98,0.03,-0.14
3.01,-0.98,0.03,-0.14
3.06,-0.98,0.03,-0.14
3.11,-0.98,0.03,-0.14
3.17,-0.98,0.03,-0.14
3.22,-0.97,0.04,-0.14
3.27,-0.98,0.03,-0.14
3.33,-0.98,0.03,-0.14
3.38,-0.98,0.03,-0.13
3.43,-0.98,0.03,-0.13
3.49,-0.98,0.03,-0.14
3.54,-0.98,0.02,-0.14
3.59,-0.98,0.03,-0.14
3.65,-0.97,0.04,-0.14
3.70,-0.97,0.03,-0.13
3.75,-0.99,0.02,-0.15
3.81,-0.98,0.03,-0.15
3.86,-0.98,0.03,-0.14
3.91,-0.98,0.02,-0.15
3.97,-0.97,0.03,-0.14
4.02,-0.98,0.02,-0.14
4.07,-0.96,0.04,-0.14
4.13,-0.98,0.03,-0.13
4.18,-0.98,0.03,-0.14
4.23,-0.98,0.02,-0.14
4.29,-0.97,0.03,-0.15
4.34,-0.98,0.03,-0.15
4.39,-0.98,0.03,-0.13
4.45,-0.97,0.03,-0.13
4.50,-0.97,0.03,-0.15
4.55,-0.97,0.03,-0.13
4.61,-0.98,0.03,-0.15
4.66,-0.99,0.03,-0.14
4.71,-0.98,0.03,-0.15
4.77,-0.98,0.03,-0.13
4.82,-0.98,0.03,-0.13
4.87,-0.97,0.04,-0.15
4.93,-0.99,0.03,-0.15
4.98,-0.99,0.02,-0.13
5.03,-0.97,0.04,-0.14
5.09,-0.97,0.04,-0.16
5.14,-0.97,0.02,-0.13
5.19,-0.99,0.04,-0.14
5.25,-0.99,0.03,-0.16
5.30,-0.98,0.03,-0.14
5.35,-0.97,0.04,-0.14
5.41,-0.97,0.04,-0.14
5.46,-0.97,0.03,-0.13
5.51,-1.00,0.03,-0.13
5.57,-0.96,0.05,-0.16
5.62,-0.98,0.04,-0.13
5.67,-0.94,0.01,-0.06
5.73,-0.95,0.02,-0.14
5.78,-0.98,0.03,-0.12
5.83,-1.34,0.02,-0.15
5.89,-1.22,0.07,-0.12
5.94,-0.90,0.08,-0.00
5.99,-0.93,0.01,0.02
6.05,-1.14,0.05,-0.08
6.10,-1.05,0.02,-0.11
6.15,-1.01,0.01,-0.04
6.21,-0.94,0.05,-0.09
6.26,-0.90,-0.00,0.04
6.31,-1.07,0.04,-0.05
6.37,-0.92,-0.01,-0.17
6.42,-0.98,0.03,-0.07
6.47,-1.09,0.02,-0.08
6.53,-0.95,0.03,-0.10
6.58,-1.07,0.07,-0.13
6.63,-0.98,0.01,-0.03
6.69,-1.00,-0.00,-0.10
6.74,-0.98,0.05,-0.07
6.79,-1.02,-0.02,-0.01
6.85,-0.98,0.00,-0.08
6.90,-0.95,0.04,-0.05
6.95,-0.90,0.07,0.02
7.01,-0.95,0.00,-0.04
7.06,-0.88,0.02,-0.01
7.11,-0.94,0.04,-0.05
7.17,-1.02,0.03,-0.06
7.22,-0.95,0.01,-0.11
7.27,-0.80,-0.03,-0.09
7.33,-1.11,0.04,-0.11
7.38,-0.96,0.05,-0.14
7.43,-1.01,0.08,-0.15
7.49,-1.04,-0.01,-0.08
7.54,-0.87,0.06,-0.04
7.59,-1.01,0.03,-0.11
7.65,-0.94,0.02,-0.07
7.70,-1.07,0.00,-0.01
7.75,-1.15,0.01,-0.12
7.80,-0.99,0.04,-0.09
7.86,-0.90,0.06,-0.08
7.91,-1.07,0.02,-0.07
7.97,-1.06,0.05,-0.08
8.02,-1.25,0.08,-0.06
8.07,-0.63,-0.03,-0.09
8.13,-1.28,0.09,-0.12
8.18,-1.01,-0.01,-0.03
8.23,-1.03,-0.01,-0.03
8.29,-1.07,0.03,-0.09
8.34,-0.90,0.01,-0.01
8.39,-1.08,-0.01,-0.05
8.44,-0.97,0.03,-0.06
8.50,-0.96,0.03,-0.04
8.55,-1.04,-0.01,-0.02
8.60,-1.05,0.05,-0.04
8.66,-0.92,0.03,-0.04
8.71,-1.10,0.00,-0.06
8.77,-1.17,0.08,-0.08
8.82,-0.79,0.06,-0.08
8.87,-1.05,-0.04,-0.05
8.93,-0.98,0.10,0.01
8.98,-1.08,0.06,-0.06
9.03,-0.99,0.09,-0.02
9.09,-1.17,0.17,-0.09
9.14,-0.86,-0.00,-0.07
9.19,-1.08,0.04,-0.06
9.25,-0.88,0.02,-0.07
9.30,-1.32,0.18,-0.02
9.35,-1.09,0.11,-0.04
9.40,-1.02,0.04,-0.10
9.46,-0.92,0.05,-0.05
9.51,-1.02,0.04,-0.11
9.57,-0.92,-0.05,-0.03
9.62,-1.00,0.05,-0.08
9.67,-1.06,0.08,-0.11
9.73,-0.89,0.07,-0.14
9.78,-0.95,0.05,-0.14
9.83,-1.20,0.06,-0.21
9.89,-0.95,0.09,-0.20
9.94,-1.11,0.09,-0.33
9.99,-1.06,0.06,-0.15
10.05,-1.05,0.04,-0.17
10.10,-1.05,0.01,-0.09
10.15,-1.07,0.07,-0.15
10.21,-0.97,0.03,-0.05
10.26,-0.96,0.06,-0.10
10.31,-1.07,0.05,-0.09
10.36,-0.95,0.02,0.03
10.42,-0.95,0.04,-0.05
10.47,-1.14,0.03,-0.12
10.52,-0.93,0.08,-0.04
10.58,-1.01,0.04,-0.07
10.63,-1.05,0.03,-0.11
10.69,-0.92,-0.01,-0.08
10.74,-1.03,0.04,-0.23
10.79,-1.02,0.03,-0.06
10.85,-0.93,0.07,-0.19
10.90,-1.17,0.00,-0.09
10.95,-0.97,0.02,-0.11
11.01,-0.82,0.03,-0.07
11.06,-0.89,0.05,-0.09
11.11,-0.87,0.05,0.05
11.17,-1.07,0.05,-0.12
11.22,-0.99,-0.05,-0.15
11.27,-0.77,0.00,-0.08
11.33,-1.03,0.00,-0.13
11.38,-1.15,-0.04,-0.16
11.43,-0.99,0.03,-0.10
11.49,-1.05,0.06,-0.15
11.54,-1.12,0.03,-0.22
11.59,-1.16,0.10,-0.10
11.65,-0.97,-0.06,-0.09
11.70,-0.97,0.00,-0.15
11.75,-1.16,0.20,-0.05
11.81,-0.91,0.04,-0.14
