Time,Ax,Ay,Az
0.00,-0.98,0.03,-0.14
0.07,-0.98,0.03,-0.14
0.13,-0.98,0.03,-0.14
0.18,-0.97,0.03,-0.14
0.23,-0.98,0.04,-0.15
0.29,-0.97,0.03,-0.15
0.34,-0.98,0.03,-0.14
0.39,-0.98,0.03,-0.14
0.45,-0.97,0.03,-0.14
0.50,-0.97,0.04,-0.14
0.55,-0.97,0.03,-0.15
0.61,-0.98,0.03,-0.14
0.66,-0.98,0.03,-0.14
0.71,-0.98,0.03,-0.15
0.77,-0.97,0.03,-0.14
0.82,-0.97,0.03,-0.14
0.87,-0.97,0.04,-0.14
0.93,-0.98,0.03,-0.15
0.98,-0.98,0.03,-0.14
1.03,-0.98,0.04,-0.14
1.09,-0.98,0.03,-0.14
1.14,-0.97,0.04,-0.14
1.19,-0.97,0.04,-0.14
1.25,-0.97,0.03,-0.14
1.30,-0.97,0.03,-0.14
1.35,-0.97,0.04,-0.14
1.41,-0.97,0.03,-0.14
1.46,-0.98,0.03,-0.15
1.51,-0.97,0.03,-0.14
1.57,-0.98,0.03,-0.15
1.62,-0.98,0.03,-0.14
1.67,-0.97,0.03,-0.14
1.73,-0.98,0.03,-0.14
1.78,-0.98,0.03,-0.15
1.83,-0.98,0.04,-0.15
1.89,-0.97,0.03,-0.14
1.94,-0.98,0.03,-0.14
1.99,-0.97,0.04,-0.14
2.05,-0.98,0.03,-0.14
2.10,-0.98,0.04,-0.14
2.15,-0.97,0.03,-0.14
2.21,-0.97,0.03,-0.14
2.26,-0.97,0.04,-0.14
2.31,-0.97,0.04,-0.14
2.37,-0.97,0.04,-0.14
2.42,-0.97,0.03,-0.14
2.47,-0.98,0.03,-0.15
2.53,-0.98,0.03,-0.15
2.58,-0.97,0.03,-0.14
2.63,-0.98,0.03,-0.14
2.69,-0.98,0.04,-0.14
2.74,-0.98,0.03,-0.14
2.79,-0.98,0.03,-0.14
2.85,-0.98,0.03,-0.14
2.90,-0.98,0.03,-0.15
2.95,-0.97,0.04,-0.14
3.01,-0.97,0.03,-0.14
3.06,-0.97,0.03,-0.14
3.11,-0.97,0.04,-0.14
3.17,-0.98,0.03,-0.15
3.22,-0.98,0.03,-0.15
3.27,-0.98,0.04,-0.15
3.33,-0.98,0.03,-0.14
3.38,-0.98,0.03,-0.14
3.43,-0.98,0.03,-0.15
3.49,-0.98,0.03,-0.14
3.54,-0.98,0.03,-0.14
3.59,-0.98,0.03,-0.14
3.65,-0.98,0.04,-0.14
3.70,-0.97,0.03,-0.15
3.75,-0.98,0.03,-0.14
3.81,-0.98,0.04,-0.14
3.86,-0.97,0.04,-0.14
3.91,-0.98,0.03,-0.15
3.97,-0.98,0.03,-0.14
4.02,-0.97,0.03,-0.14
4.07,-0.97,0.03,-0.14
4.13,-0.97,0.03,-0.14
4.18,-0.97,0.04,-0.14
4.23,-0.97,0.03,-0.14
4.29,-0.98,0.03,-0.14
4.34,-0.97,0.03,-0.14
4.39,-0.98,0.03,-0.14
4.45,-0.98,0.04,-0.14
4.50,-0.97,0.03,-0.14
4.55,-0.98,0.03,-0.14
4.61,-0.98,0.04,-0.14
4.66,-0.98,0.03,-0.14
4.71,-0.98,0.03,-0.15
4.77,-0.97,0.04,-0.14
4.82,-0.97,0.03,-0.14
4.87,-0.97,0.03,-0.14
4.93,-0.98,0.03,-0.15
4.98,-0.98,0.03,-0.14
5.03,-0.98,0.03,-0.14
5.09,-0.98,0.03,-0.14
5.14,-0.97,0.03,-0.14
5.19,-0.97,0.03,-0.15
5.25,-0.98,0.03,-0.14
5.30,-0.98,0.03,-0.14
5.35,-0.97,0.04,-0.15
5.41,-0.97,0.03,-0.14
5.46,-0.97,0.03,-0.14
5.51,-0.98,0.04,-0.14
5.57,-0.97,0.04,-0.14
5.62,-0.98,0.03,-0.14
5.67,-0.97,0.03,-0.14
5.73,-0.97,0.04,-0.14
5.78,-0.97,0.03,-0.14
5.83,-0.98,0.03,-0.14
5.89,-0.97,0.04,-0.14
5.94,-0.98,0.03,-0.14
5.99,-0.97,0.03,-0.14
6.05,-0.97,0.03,-0.15
6.10,-0.98,0.03,-0.14
6.15,-0.98,0.03,-0.15
6.21,-0.97,0.03,-0.14
6.26,-0.97,0.03,-0.14
6.31,-0.97,0.04,-0.15
6.37,-0.97,0.04,-0.14
6.42,-0.97,0.04,-0.14
6.47,-0.97,0.03,-0.15
6.53,-0.97,0.03,-0.14
6.58,-0.98,0.03,-0.14
6.63,-0.97,0.03,-0.14
6.69,-0.97,0.03,-0.14
6.74,-0.97,0.03,-0.14
6.79,-0.97,0.03,-0.14
6.85,-0.97,0.03,-0.14
6.90,-0.97,0.04,-0.14
6.95,-0.98,0.04,-0.15
7.01,-0.97,0.03,-0.14
7.06,-0.97,0.03,-0.14
7.11,-0.98,0.03,-0.14
7.17,-0.97,0.04,-0.14
7.22,-0.97,0.03,-0.14
7.27,-0.97,0.03,-0.14
7.33,-0.98,0.03,-0.14
7.38,-0.97,0.03,-0.14
7.43,-0.97,0.03,-0.14
7.49,-0.98,0.03,-0.14
7.54,-0.97,0.03,-0.14
7.59,-0.97,0.03,-0.14
7.65,-0.97,0.03,-0.14
7.70,-0.98,0.03,-0.14
7.75,-0.97,0.03,-0.14
7.80,-0.97,0.04,-0.14
7.86,-0.98,0.03,-0.15
7.91,-0.97,0.03,-0.15
7.97,-0.97,0.04,-0.14
8.02,-0.98,0.03,-0.14
8.07,-0.97,0.03,-0.15
8.13,-0.97,0.04,-0.14
8.18,-0.98,0.03,-0.14
8.23,-0.98,0.03,-0.14
8.29,-0.98,0.03,-0.14
8.34,-0.97,0.03,-0.14
8.39,-0.98,0.04,-0.15
8.44,-0.97,0.03,-0.14
8.50,-0.98,0.03,-0.14
8.55,-0.98,0.03,-0.14
8.61,-0.97,0.04,-0.14
8.66,-0.98,0.04,-0.14
8.71,-0.97,0.03,-0.14
8.77,-0.98,0.03,-0.14
8.82,-0.98,0.04,-0.14
8.87,-0.98,0.04,-0.14
8.93,-0.98,0.03,-0.14
8.98,-0.97,0.03,-0.14
9.03,-0.90,0.05,-0.14
9.09,-0.98,0.03,-0.14
9.14,-0.98,0.03,-0.15
9.19,-0.98,0.04,-0.15
9.25,-0.98,0.03,-0.14
9.30,-0.97,0.03,-0.14
9.35,-0.98,0.04,-0.14
9.41,-0.97,0.04,-0.14
9.46,-0.97,0.03,-0.14
9.51,-0.98,0.03,-0.15
9.57,-0.97,0.04,-0.14
9.62,-0.98,0.03,-0.14
9.67,-0.98,0.03,-0.15
9.73,-0.98,0.04,-0.14
9.78,-0.98,0.03,-0.15
9.83,-0.98,0.03,-0.14
9.89,-0.98,0.03,-0.14
9.94,-0.98,0.04,-0.14
9.99,-0.98,0.03,-0.14
10.05,-0.98,0.04,-0.13
10.10,-0.98,0.03,-0.13
10.15,-0.98,0.03,-0.15
10.21,-0.97,0.03,-0.14
10.26,-0.97,0.04,-0.15
10.31,-0.97,0.03,-0.14
10.36,-0.97,0.03,-0.14
10.42,-0.97,0.03,-0.14
10.47,-0.98,0.03,-0.14
10.53,-0.97,0.03,-0.14
10.58,-0.97,0.04,-0.15
10.63,-0.97,0.03,-0.15
10.69,-0.98,0.03,-0.15
10.74,-0.98,0.03,-0.13
10.79,-0.98,0.04,-0.15
10.85,-0.97,0.03,-0.15
10.90,-0.98,0.03,-0.14
10.95,-0.98,0.03,-0.15
11.01,-0.98,0.03,-0.14
11.06,-0.98,0.03,-0.15
11.11,-0.98,0.03,-0.14
11.17,-0.98,0.03,-0.14
11.22,-0.98,0.03,-0.15
11.27,-0.98,0.04,-0.14
11.33,-0.97,0.04,-0.14
11.38,-0.97,0.04,-0.14
11.43,-0.97,0.03,-0.15
11.49,-0.97,0.03,-0.14
11.54,-0.98,0.03,-0.14
11.59,-0.98,0.04,-0.15
11.65,-0.93,0.02,-0.14
11.70,-0.99,0.03,-0.14
11.75,-0.98,0.03,-0.14
11.81,-0.98,0.02,-0.15
11.86,-0.97,0.04,-0.14
