Time,Ax,Ay,Az
0.00,-0.98,0.05,-0.11
0.07,-0.98,0.05,-0.11
0.13,-0.98,0.05,-0.11
0.18,-0.98,0.05,-0.10
0.23,-0.98,0.05,-0.11
0.29,-0.98,0.05,-0.11
0.34,-0.98,0.05,-0.11
0.39,-0.98,0.05,-0.11
0.45,-0.98,0.05,-0.11
0.50,-0.98,0.05,-0.11
0.55,-0.98,0.05,-0.11
0.61,-0.98,0.05,-0.11
0.66,-0.98,0.05,-0.11
0.71,-0.98,0.05,-0.11
0.77,-0.98,0.05,-0.10
0.82,-0.98,0.05,-0.11
0.87,-0.98,0.05,-0.11
0.93,-0.97,0.05,-0.11
0.98,-0.98,0.05,-0.11
1.03,-0.98,0.05,-0.11
1.09,-0.98,0.05,-0.11
1.14,-0.98,0.05,-0.11
1.19,-0.98,0.05,-0.11
1.25,-0.98,0.05,-0.10
1.30,-0.98,0.05,-0.10
1.35,-0.98,0.05,-0.11
1.41,-0.98,0.05,-0.11
1.46,-0.98,0.05,-0.11
1.51,-0.98,0.05,-0.11
1.57,-0.98,0.05,-0.11
1.62,-0.98,0.05,-0.11
1.67,-0.98,0.05,-0.11
1.73,-0.98,0.05,-0.11
1.78,-0.98,0.05,-0.11
1.83,-0.98,0.04,-0.11
1.89,-0.98,0.05,-0.11
1.94,-0.98,0.05,-0.11
1.99,-0.98,0.05,-0.11
2.05,-0.98,0.05,-0.11
2.10,-0.98,0.05,-0.11
2.15,-0.98,0.04,-0.11
2.21,-0.98,0.05,-0.11
2.26,-0.98,0.05,-0.11
2.31,-0.98,0.05,-0.10
2.37,-0.98,0.05,-0.11
2.42,-0.98,0.05,-0.11
2.47,-0.97,0.05,-0.11
2.53,-0.98,0.05,-0.11
2.58,-0.98,0.05,-0.11
2.63,-0.98,0.05,-0.11
2.69,-0.98,0.05,-0.11
2.74,-0.98,0.05,-0.11
2.79,-0.98,0.05,-0.11
2.85,-0.98,0.05,-0.11
2.90,-0.98,0.05,-0.11
2.95,-0.98,0.05,-0.11
3.01,-0.98,0.05,-0.11
3.06,-0.98,0.05,-0.11
3.11,-0.98,0.05,-0.11
3.17,-0.98,0.05,-0.11
3.22,-0.98,0.05,-0.11
3.27,-0.98,0.05,-0.11
3.33,-0.98,0.05,-0.11
3.38,-0.98,0.05,-0.11
3.43,-0.98,0.05,-0.11
3.49,-0.98,0.05,-0.11
3.54,-0.98,0.05,-0.11
3.59,-0.98,0.05,-0.11
3.65,-0.97,0.05,-0.11
3.70,-0.98,0.05,-0.11
3.75,-0.98,0.05,-0.11
3.81,-0.98,0.05,-0.11
3.86,-0.98,0.05,-0.11
3.91,-0.98,0.05,-0.11
3.97,-0.98,0.04,-0.11
4.02,-0.98,0.05,-0.11
4.07,-0.75,-0.02,-0.10
4.13,-0.85,0.05,-0.10
4.18,-0.88,0.04,-0.12
4.23,-1.65,0.09,-0.11
4.29,-0.86,0.05,-0.11
4.34,-0.91,0.03,-0.06
4.39,-1.31,-0.00,-0.20
4.45,-0.91,0.01,-0.06
4.50,-1.10,0.07,-0.13
4.55,-0.97,0.04,-0.07
4.61,-1.00,0.07,-0.15
4.66,-0.95,0.07,-0.09
4.71,-0.93,0.09,-0.20
4.77,-1.00,0.07,-0.10
4.82,-0.99,0.05,-0.13
4.87,-0.99,0.03,-0.11
4.93,-0.98,0.05,-0.12
4.98,-1.00,0.05,-0.09
5.03,-1.00,0.05,-0.11
5.09,-0.96,0.08,-0.12
5.14,-0.93,0.05,-0.12
5.19,-0.97,-0.01,-0.04
5.25,-0.98,0.04,-0.13
5.30,-0.92,0.03,-0.14
5.35,-1.06,-0.00,-0.08
5.41,-0.91,0.05,-0.12
5.46,-1.00,0.04,-0.01
5.51,-1.05,0.07,-0.15
5.57,-0.99,0.08,-0.05
5.62,-1.02,0.03,-0.11
5.67,-0.93,0.04,-0.14
5.73,-0.96,0.02,-0.10
5.78,-0.91,0.06,-0.12
5.83,-1.01,0.02,-0.09
5.89,-1.00,0.06,-0.10
5.94,-0.92,0.06,-0.13
5.99,-0.95,0.02,-0.05
6.05,-1.11,0.10,-0.07
6.10,-1.05,0.08,-0.05
6.15,-1.04,0.05,-0.12
6.21,-0.95,0.08,-0.11
6.26,-1.02,0.03,-0.10
6.31,-0.94,0.03,-0.13
6.37,-0.97,0.04,-0.07
6.42,-1.02,0.06,-0.01
6.47,-1.01,0.04,-0.17
6.53,-1.00,0.04,-0.09
6.58,-0.96,0.06,-0.08
6.63,-0.97,0.04,-0.15
6.69,-0.96,0.05,-0.01
6.74,-0.91,0.12,-0.13
6.79,-0.97,0.07,-0.07
6.85,-1.02,0.06,-0.13
6.90,-1.00,0.05,-0.09
6.95,-0.92,0.07,-0.12
7.01,-0.99,0.02,-0.10
7.06,-0.98,0.04,-0.10
7.11,-0.99,0.03,-0.10
7.17,-1.02,0.06,-0.13
7.22,-0.96,0.05,-0.11
7.27,-0.95,0.04,-0.11
7.33,-1.00,0.08,-0.13
7.38,-0.99,0.02,-0.07
7.43,-0.89,0.06,-0.11
7.49,-0.99,0.02,-0.08
7.54,-1.03,0.05,-0.12
7.59,-0.93,0.06,-0.07
7.65,-0.98,0.06,-0.11
7.70,-0.96,0.06,-0.04
7.75,-0.90,0.04,-0.16
7.80,-0.93,0.07,-0.13
7.86,-0.91,0.04,-0.14
7.91,-1.05,0.08,-0.07
7.97,-0.83,0.02,-0.13
8.02,-1.02,0.03,-0.13
8.07,-0.91,0.03,-0.07
8.13,-1.01,-0.00,-0.18
8.18,-0.95,0.03,-0.02
8.23,-0.96,0.03,-0.10
8.29,-1.04,0.04,-0.07
8.34,-0.96,0.05,-0.11
8.39,-0.96,0.06,-0.11
8.44,-0.88,-0.04,-0.13
8.50,-0.91,-0.06,-0.10
8.55,-0.92,-0.03,-0.10
8.60,-0.96,0.06,-0.13
8.66,-1.03,0.03,-0.11
8.71,-0.94,0.01,-0.12
8.77,-0.98,0.03,-0.15
8.82,-1.00,0.03,-0.07
8.87,-0.88,-0.01,-0.05
8.93,-0.98,0.02,-0.13
8.98,-1.00,0.05,-0.13
9.03,-0.93,0.04,-0.12
9.09,-0.97,0.06,-0.12
9.14,-0.91,0.03,-0.07
9.19,-1.03,-0.02,-0.08
9.25,-0.95,0.06,-0.14
9.30,-0.96,0.01,-0.09
9.35,-0.96,0.02,-0.07
9.41,-1.02,0.06,-0.14
9.46,-0.95,0.05,-0.08
9.51,-0.90,0.04,-0.11
9.57,-0.96,0.04,-0.13
9.62,-0.97,0.06,-0.07
9.67,-0.97,0.03,-0.08
9.73,-0.98,0.02,-0.20
9.78,-0.99,0.08,-0.14
9.83,-0.97,0.05,-0.06
9.89,-1.00,0.05,-0.10
9.94,-0.97,-0.01,-0.07
9.99,-0.90,0.06,-0.13
10.05,-0.95,0.03,-0.12
10.10,-1.05,0.02,-0.04
10.15,-0.91,0.07,-0.09
10.21,-1.11,0.05,-0.11
10.26,-0.97,0.02,-0.07
10.31,-1.11,0.07,-0.08
10.36,-1.04,0.07,-0.07
10.42,-0.97,0.10,-0.11
10.47,-0.97,0.02,-0.12
10.52,-0.98,0.04,-0.16
10.58,-1.03,0.11,-0.12
10.63,-0.94,0.03,-0.09
10.69,-0.98,0.01,-0.12
10.74,-0.99,0.03,-0.09
10.79,-0.98,0.07,-0.20
10.85,-1.00,0.05,-0.08
10.90,-0.90,0.09,-0.07
10.95,-0.97,0.08,-0.12
11.01,-1.00,0.03,-0.15
11.06,-0.91,0.02,-0.06
11.11,-0.88,0.00,-0.09
11.17,-0.97,-0.02,-0.09
11.22,-1.04,0.06,-0.12
11.27,-1.00,-0.04,-0.11
11.33,-1.06,0.12,-0.07
11.38,-0.93,0.07,-0.11
11.43,-1.07,0.00,-0.10
11.49,-1.09,0.12,-0.09
11.54,-0.97,0.01,-0.14
11.59,-0.97,0.09,-0.18
11.65,-1.11,0.03,-0.08
11.70,-0.88,0.06,-0.11
11.75,-0.90,0.01,-0.07
11.81,-0.94,0.15,-0.14
11.86,-0.97,0.04,-0.06
11.91,-1.02,0.05,-0.20
11.97,-0.99,0.03,-0.08
12.02,-1.07,0.11,-0.08
12.07,-0.93,0.00,-0.08
12.13,-1.02,0.09,-0.13
12.18,-1.07,0.03,-0.10
12.23,-0.91,0.00,-0.13
12.29,-1.05,0.06,-0.10
12.34,-0.90,0.04,-0.09
12.39,-1.09,0.10,-0.11
12.45,-1.01,0.04,-0.09
12.50,-0.96,0.06,-0.11
12.55,-0.97,0.04,-0.10
12.61,-0.97,0.05,-0.10
12.66,-0.96,0.08,-0.10
12.71,-0.92,0.05,-0.09
12.77,-0.99,0.01,-0.11
12.82,-0.97,0.06,-0.05
12.87,-1.00,0.04,-0.12
12.93,-0.97,-0.01,-0.08
12.98,-1.01,0.07,-0.10
13.03,-0.95,0.01,-0.14
13.09,-0.95,0.07,-0.05
13.14,-0.93,-0.00,-0.09
13.19,-0.99,0.09,-0.07
13.25,-0.93,0.02,-0.11
13.30,-1.01,0.07,-0.17
