Time,Ax,Ay,Az
0.00,-0.98,0.03,-0.14
0.12,-0.98,0.03,-0.15
0.23,-0.98,0.03,-0.15
0.33,-0.97,0.03,-0.14
0.43,-0.97,0.03,-0.15
0.54,-0.98,0.04,-0.14
0.64,-0.98,0.03,-0.15
0.74,-0.98,0.04,-0.14
0.85,-0.98,0.03,-0.14
0.95,-0.98,0.03,-0.14
1.05,-0.98,0.03,-0.15
1.16,-0.98,0.03,-0.14
1.26,-0.98,0.03,-0.14
1.36,-0.98,0.03,-0.14
1.47,-0.98,0.03,-0.14
1.57,-0.98,0.03,-0.15
1.67,-0.97,0.03,-0.14
1.78,-0.98,0.03,-0.14
1.88,-0.98,0.03,-0.15
1.98,-0.97,0.04,-0.15
2.09,-0.97,0.04,-0.14
2.19,-0.98,0.03,-0.14
2.29,-0.97,0.03,-0.14
2.40,-0.98,0.04,-0.14
2.50,-0.97,0.03,-0.14
2.60,-0.97,0.04,-0.14
2.71,-0.98,0.03,-0.14
2.81,-0.98,0.03,-0.14
2.91,-0.98,0.03,-0.15
3.02,-0.98,0.03,-0.14
3.12,-0.98,0.04,-0.14
3.22,-0.97,0.03,-0.15
3.33,-0.97,0.04,-0.14
3.43,-0.98,0.03,-0.14
3.53,-0.98,0.03,-0.14
3.64,-0.97,0.03,-0.14
3.74,-0.98,0.03,-0.14
3.84,-0.98,0.03,-0.15
3.95,-0.97,0.03,-0.14
4.05,-0.98,0.03,-0.14
4.15,-0.98,0.03,-0.15
4.26,-0.98,0.03,-0.15
4.36,-0.98,0.03,-0.14
4.46,-0.98,0.03,-0.14
4.57,-0.98,0.03,-0.15
4.67,-0.97,0.03,-0.14
4.77,-0.97,0.03,-0.14
4.88,-0.98,0.03,-0.14
4.98,-0.98,0.03,-0.14
5.08,-0.98,0.03,-0.14
5.19,-0.98,0.03,-0.14
5.29,-0.98,0.03,-0.14
5.39,-0.98,0.03,-0.14
5.50,-0.97,0.03,-0.14
5.60,-0.98,0.03,-0.14
5.70,-0.97,0.03,-0.15
5.81,-0.98,0.03,-0.15
5.91,-0.98,0.03,-0.15
6.01,-0.97,0.04,-0.15
6.12,-0.97,0.03,-0.14
6.22,-0.98,0.03,-0.15
6.32,-0.97,0.03,-0.15
6.43,-0.97,0.03,-0.14
6.53,-0.98,0.03,-0.14
6.63,-0.97,0.03,-0.14
6.74,-0.97,0.03,-0.14
6.84,-0.98,0.04,-0.14
6.94,-0.97,0.03,-0.14
7.05,-0.98,0.03,-0.14
7.15,-0.99,0.04,-0.14
7.25,-0.97,0.03,-0.15
7.36,-0.97,0.03,-0.14
7.46,-0.98,0.04,-0.15
7.56,-0.97,0.02,-0.12
7.67,-0.97,0.03,-0.15
7.77,-0.98,0.03,-0.15
7.87,-0.98,0.03,-0.14
7.98,-0.97,0.03,-0.14
8.08,-0.98,0.04,-0.14
8.18,-0.97,0.03,-0.15
8.29,-0.96,0.04,-0.14
8.39,-0.98,0.02,-0.13
8.49,-0.98,0.03,-0.14
8.60,-0.98,0.03,-0.13
8.70,-0.98,0.04,-0.16
8.80,-0.97,0.03,-0.15
8.91,-0.98,0.04,-0.12
9.01,-0.97,0.04,-0.12
9.11,-0.98,0.02,-0.13
9.22,-0.98,0.05,-0.13
9.32,-0.98,0.03,-0.14
9.42,-0.99,0.04,-0.14
9.53,-0.96,0.04,-0.14
9.63,-0.97,0.03,-0.17
9.73,-0.99,0.05,-0.15
9.84,-0.97,0.04,-0.12
9.94,-0.97,0.03,-0.18
10.04,-0.99,0.02,-0.13
10.15,-1.11,0.02,-0.26
10.25,-0.86,0.12,-0.15
10.35,-0.83,0.06,0.09
10.46,-0.87,0.01,-0.16
10.56,-1.03,0.01,-0.18
10.66,-1.05,0.11,-0.13
10.77,-0.93,-0.08,-0.22
10.87,-0.92,0.02,-0.18
10.97,-1.07,0.02,-0.11
11.08,-0.90,-0.01,-0.09
11.18,-1.05,0.05,-0.12
11.28,-0.94,0.04,0.02
11.39,-1.02,0.05,-0.09
11.49,-1.15,-0.01,-0.26
11.59,-1.02,0.10,-0.14
11.70,-1.09,-0.04,-0.12
11.80,-1.07,-0.00,-0.08
11.90,-0.85,0.03,-0.03
12.01,-0.80,0.04,-0.08
12.11,-0.68,0.03,-0.19
12.21,-0.88,0.05,-0.11
12.32,-1.04,0.00,-0.21
12.42,-0.92,0.10,-0.06
12.52,-0.73,0.00,-0.13
12.63,-0.87,0.04,-0.12
12.73,-1.11,0.08,0.00
12.83,-1.03,0.00,-0.06
12.94,-1.00,0.03,-0.23
13.04,-0.82,0.20,-0.07
13.14,-0.90,-0.03,-0.10
13.25,-1.04,0.07,-0.10
13.35,-0.92,0.03,-0.01
13.45,-0.84,-0.09,-0.12
13.56,-1.05,-0.01,-0.18
13.66,-1.03,0.09,-0.03
13.76,-0.88,0.04,-0.10
13.87,-1.15,0.02,-0.12
13.97,-0.90,0.07,0.06
14.07,-1.00,0.03,-0.18
14.18,-1.06,0.06,-0.14
14.28,-0.98,0.00,-0.10
14.39,-0.99,0.00,-0.15
14.49,-1.05,-0.00,-0.04
14.59,-0.90,0.04,-0.08
14.69,-0.87,0.05,-0.09
14.80,-1.07,0.08,-0.07
14.90,-0.96,0.03,-0.17
15.00,-0.77,0.08,-0.19
15.11,-0.94,0.04,-0.00
15.21,-0.96,0.05,-0.02
15.31,-0.96,-0.04,-0.10
15.42,-0.98,0.06,0.05
15.52,-0.96,0.05,-0.13
15.63,-1.03,0.04,-0.23
15.73,-0.94,0.04,-0.13
15.83,-0.96,0.04,-0.08
15.94,-0.80,-0.01,-0.14
16.04,-0.84,0.05,0.01
16.14,-0.98,0.05,-0.11
16.25,-1.16,0.01,-0.18
16.35,-0.91,0.01,-0.12
16.45,-0.91,-0.03,-0.06
16.56,-0.85,0.15,-0.10
16.66,-0.79,0.05,-0.06
16.76,-1.05,0.06,-0.04
16.86,-1.00,-0.13,0.02
16.97,-1.03,0.10,0.02
17.07,-0.82,0.07,-0.19
17.17,-0.80,0.05,0.08
17.28,-0.92,0.07,-0.06
17.38,-1.19,0.19,-0.20
17.48,-0.97,0.02,-0.03
17.59,-1.04,0.07,-0.03
17.69,-0.99,0.06,-0.23
17.80,-0.91,0.05,-0.02
17.90,-0.84,0.05,-0.09
18.00,-0.96,-0.04,-0.10
18.11,-1.05,0.09,-0.15
18.21,-0.95,0.06,-0.20
18.31,-0.90,0.00,-0.12
18.42,-1.05,0.06,-0.10
18.52,-1.03,0.03,-0.03
18.62,-1.12,0.03,-0.08
18.72,-0.99,0.01,-0.06
18.83,-1.06,0.03,-0.15
18.93,-1.25,0.03,-0.11
19.04,-0.81,0.03,-0.18
19.14,-0.99,-0.00,-0.15
19.24,-0.90,0.05,0.01
19.35,-0.94,0.06,-0.01
19.45,-1.04,0.11,-0.08
19.55,-0.96,0.08,-0.11
19.66,-0.94,0.01,-0.23
19.76,-1.36,0.08,-0.08
19.86,-0.97,0.04,-0.09
19.97,-0.88,0.09,-0.08
20.07,-1.03,0.01,-0.08
20.17,-0.99,0.02,-0.08
20.28,-0.88,0.01,-0.19
20.38,-0.97,0.08,-0.16
20.48,-1.03,0.17,-0.08
20.59,-1.22,0.20,-0.15
20.69,-0.88,0.16,-0.07
20.79,-0.90,0.02,-0.07
20.90,-0.90,0.04,-0.08
21.00,-0.97,0.02,-0.13
21.10,-1.03,0.04,-0.07
21.21,-0.98,0.03,-0.14
21.31,-0.86,-0.01,-0.11
21.41,-0.96,0.05,-0.14
21.52,-1.00,0.01,-0.12
21.62,-0.88,0.01,-0.01
21.72,-0.85,0.01,-0.10
21.83,-1.11,0.04,-0.14
21.93,-0.98,0.06,-0.10
22.03,-0.90,0.00,-0.12
22.14,-1.08,0.04,-0.10
22.24,-1.00,0.05,-0.11
22.34,-0.97,0.04,-0.11
22.45,-0.96,0.05,-0.11
22.55,-1.01,0.01,-0.10
22.65,-1.11,0.02,-0.12
22.76,-1.04,0.05,-0.05
22.86,-0.94,0.03,-0.14
22.96,-0.90,-0.01,-0.12
23.07,-1.08,0.05,-0.19
23.17,-0.88,0.03,-0.14
23.27,-1.09,0.03,-0.11
23.38,-0.88,0.02,-0.15
23.48,-1.12,0.06,-0.14
23.58,-1.12,0.05,-0.11
23.69,-0.91,0.01,-0.06
23.79,-0.82,0.05,-0.09
23.89,-0.91,0.00,-0.08
24.00,-1.00,0.08,-0.11
24.10,-0.98,0.05,-0.10
24.20,-1.02,0.02,-0.09
24.31,-0.90,0.07,-0.12
24.41,-1.02,0.01,-0.08
24.51,-1.08,0.02,-0.12
24.62,-1.01,-0.00,-0.10
24.72,-1.02,0.03,-0.14
24.82,-1.10,0.05,-0.08
24.93,-1.01,0.03,-0.11
25.03,-1.01,0.04,-0.17
25.13,-0.98,0.06,-0.06
25.24,-0.94,0.03,-0.09
25.34,-1.08,0.05,-0.09
25.44,-1.02,0.05,-0.08
25.55,-0.85,0.05,-0.18
25.65,-1.07,0.05,-0.17
25.75,-0.95,0.04,-0.10
25.86,-0.89,0.03,-0.16
25.96,-1.01,0.04,-0.07
26.06,-0.97,-0.01,-0.12
26.17,-1.09,0.01,-0.12
26.27,-0.95,0.01,-0.03
26.37,-0.98,0.05,-0.14
26.48,-0.96,0.04,-0.09
26.58,-0.92,0.02,-0.06
26.68,-0.90,0.02,-0.07
26.79,-0.96,0.05,-0.09
26.89,-0.88,0.02,-0.15
27.00,-0.84,-0.00,-0.08
27.10,-1.05,0.04,-0.07
27.20,-1.03,0.04,-0.11
27.30,-1.00,0.03,-0.10
27.41,-0.98,0.00,-0.07
27.51,-0.87,0.10,-0.08
27.61,-1.05,0.07,-0.14
27.72,-1.02,0.05,-0.10
27.82,-0.92,0.04,-0.16
27.92,-0.96,0.05,-0.09
28.03,-1.04,0.05,-0.12
28.13,-0.99,0.02,-0.09
28.23,-1.03,0.03,-0.10
28.34,-1.00,0.03,-0.09
28.44,-0.93,0.05,-0.07
28.55,-0.98,0.04,-0.12
28.65,-0.96,0.04,-0.08
28.75,-0.96,0.00,-0.00
28.86,-1.08,-0.01,-0.03
28.96,-0.94,0.04,-0.11
29.06,-1.02,0.03,-0.14
29.17,-1.12,0.06,-0.06
29.27,-0.92,0.03,-0.07
29.37,-1.05,0.05,-0.12
29.47,-1.01,0.02,-0.05
29.58,-0.96,-0.00,-0.16
29.68,-0.99,0.05,-0.10
29.79,-0.98,0.02,-0.09
29.89,-0.94,0.02,-0.13
29.99,-0.93,0.03,-0.08
30.10,-0.95,0.04,-0.09
30.20,-1.00,0.03,-0.18
30.30,-1.02,0.08,-0.11
30.41,-1.07,0.05,-0.08
30.51,-0.90,0.01,-0.09
30.61,-1.00,0.01,-0.12
30.72,-0.89,0.05,-0.09
30.82,-1.01,-0.00,-0.14
30.92,-1.07,0.03,-0.07
31.03,-0.92,0.02,-0.10
31.13,-1.06,0.04,-0.13
31.23,-0.92,0.05,-0.05
31.34,-0.90,0.03,-0.10
31.44,-1.06,0.05,-0.06
31.54,-1.03,0.07,-0.10
31.65,-0.95,0.04,-0.13
31.75,-1.13,0.05,-0.07
31.85,-0.93,0.09,-0.07
31.96,-1.01,0.04,-0.14
32.06,-1.02,0.05,-0.07
32.16,-0.93,-0.00,-0.11
32.27,-0.90,0.07,-0.10
32.37,-0.94,0.07,-0.14
32.47,-1.03,0.02,-0.11
32.58,-1.01,0.08,-0.09
32.68,-1.01,0.04,-0.08
32.78,-1.01,0.03,-0.11
32.89,-0.97,0.04,-0.05
32.99,-0.93,0.03,-0.07
33.09,-0.92,-0.01,-0.04
33.20,-0.97,0.06,-0.16
33.30,-1.04,0.05,-0.09
33.40,-0.99,0.06,-0.14
33.51,-1.02,0.00,-0.11
33.61,-0.93,-0.00,-0.09
33.71,-0.89,0.02,-0.14
33.82,-1.05,0.02,-0.11
33.92,-1.04,0.03,-0.10
34.02,-1.00,0.05,-0.18
34.13,-0.99,0.05,-0.11
34.23,-0.85,0.07,-0.03
34.33,-0.97,0.04,-0.14
34.44,-0.98,0.04,-0.11
34.54,-1.00,0.06,-0.14
34.64,-1.00,0.06,-0.08
34.75,-0.95,0.05,-0.09
34.85,-1.02,-0.03,-0.08
34.95,-1.05,0.05,-0.15
35.06,-0.97,0.03,-0.09
35.16,-0.93,0.06,-0.08
35.26,-0.99,0.05,-0.10
35.37,-0.89,-0.00,-0.15
35.47,-0.95,0.05,-0.08
35.57,-0.94,0.04,-0.16
35.68,-1.05,0.14,-0.09
35.78,-0.96,0.05,-0.12
35.88,-0.71,0.07,-0.09
35.99,-1.26,0.13,-0.19
36.09,-0.96,0.03,-0.11
36.20,-0.99,0.04,-0.10
36.30,-0.98,0.04,-0.11
36.40,-0.98,0.04,-0.09
36.50,-0.98,0.04,-0.10
36.61,-0.98,0.03,-0.10
36.71,-0.98,0.04,-0.10
36.81,-0.98,0.04,-0.10
36.92,-0.98,0.03,-0.10
37.02,-0.98,0.04,-0.11
37.13,-0.98,0.04,-0.10
37.23,-0.98,0.03,-0.10
37.33,-0.98,0.04,-0.10
37.44,-0.98,0.04,-0.10
37.54,-0.98,0.04,-0.11
37.64,-0.98,0.04,-0.10
37.75,-0.98,0.04,-0.10
37.85,-0.98,0.04,-0.10
37.95,-0.98,0.03,-0.10
38.06,-0.98,0.04,-0.10
38.16,-0.98,0.04,-0.10
38.26,-0.98,0.04,-0.10
38.37,-0.98,0.04,-0.10
38.47,-0.98,0.03,-0.10
38.57,-0.98,0.04,-0.10
38.68,-0.98,0.04,-0.10
38.78,-0.98,0.04,-0.10
38.88,-0.98,0.04,-0.10
38.99,-0.98,0.04,-0.10
39.09,-0.98,0.04,-0.10
39.19,-0.98,0.04,-0.10

