Time,Ax,Ay,Az
0.00,-0.98,0.03,-0.14
0.12,-0.97,0.03,-0.14
0.23,-0.97,0.03,-0.14
0.33,-0.98,0.04,-0.14
0.43,-0.98,0.03,-0.13
0.54,-0.98,0.03,-0.14
0.64,-0.98,0.03,-0.14
0.74,-0.98,0.03,-0.14
0.85,-0.97,0.03,-0.14
0.95,-0.97,0.03,-0.14
1.05,-0.98,0.03,-0.14
1.16,-0.98,0.04,-0.14
1.26,-0.98,0.03,-0.14
1.36,-0.97,0.03,-0.14
1.47,-0.98,0.04,-0.14
1.57,-0.98,0.04,-0.14
1.67,-0.97,0.03,-0.14
1.78,-0.98,0.03,-0.14
1.88,-0.97,0.03,-0.14
1.98,-0.97,0.04,-0.13
2.09,-0.98,0.06,-0.17
2.19,-0.98,0.03,-0.14
2.29,-0.97,0.03,-0.11
2.40,-0.97,0.03,-0.12
2.50,-1.00,0.03,-0.14
2.60,-0.97,0.03,-0.13
2.71,-0.96,0.03,-0.17
2.81,-0.99,0.05,-0.17
2.91,-0.99,0.04,-0.15
3.02,-0.94,-0.00,-0.22
3.12,-0.84,0.11,-0.04
3.22,-0.96,0.07,-0.08
3.33,-0.86,0.04,-0.01
3.43,-0.91,0.07,-0.03
3.53,-0.93,-0.00,-0.21
3.64,-1.07,-0.00,-0.14
3.74,-1.23,0.02,-0.16
3.84,-0.79,-0.01,-0.12
3.95,-0.90,0.04,-0.09
4.05,-0.89,0.11,0.11
4.15,-1.01,0.02,-0.02
4.26,-1.13,0.04,-0.14
4.36,-1.07,0.05,-0.13
4.46,-1.82,-0.07,-0.30
4.57,-1.11,0.02,-0.11
4.67,-0.80,0.01,-0.04
4.77,-1.19,-0.04,-0.03
4.88,-1.07,0.04,-0.12
4.98,-1.09,0.05,-0.13
5.08,-0.86,0.02,-0.13
5.19,-1.04,0.08,-0.01
5.29,-1.09,0.01,-0.12
5.39,-1.10,0.02,-0.06
5.50,-1.06,0.03,-0.15
5.60,-0.96,-0.01,-0.13
