Time,Ax,Ay,Az
0.00,-0.98,0.03,-0.08
0.12,-0.98,0.03,-0.08
0.23,-0.98,0.03,-0.08
0.33,-0.98,0.03,-0.09
0.43,-0.98,0.03,-0.09
0.54,-0.98,0.03,-0.09
0.64,-0.98,0.03,-0.08
0.74,-0.98,0.03,-0.09
0.85,-0.98,0.03,-0.08
0.95,-0.98,0.03,-0.09
1.05,-0.98,0.03,-0.08
1.16,-0.98,0.03,-0.08
1.26,-0.98,0.03,-0.08
1.36,-0.98,0.03,-0.09
1.47,-0.99,0.03,-0.08
1.57,-0.99,0.03,-0.08
1.67,-0.78,0.04,-0.08
1.78,-1.21,-0.05,-0.09
1.88,-0.91,0.03,-0.03
1.98,-0.90,0.04,-0.07
2.09,-0.99,0.05,-0.06
2.19,-0.98,0.04,-0.06
2.29,-1.00,0.04,-0.09
2.40,-1.01,0.02,-0.15
2.50,-0.99,0.07,-0.15
2.60,-1.02,0.04,-0.12
2.71,-0.93,-0.01,-0.12
2.81,-0.91,0.01,-0.06
2.91,-0.95,0.01,-0.15
3.02,-1.12,0.05,-0.26
3.12,-1.00,0.05,-0.11
3.22,-0.95,0.03,-0.06
3.33,-0.92,0.04,-0.02
3.43,-0.96,0.03,-0.11
3.53,-1.00,0.02,-0.10
3.64,-1.00,0.03,-0.09
3.74,-0.98,0.03,-0.16
3.84,-1.00,0.04,-0.11
3.95,-0.97,0.03,-0.14
4.05,-0.99,0.04,-0.12
4.15,-1.03,0.02,-0.06
4.26,-0.98,0.03,-0.08
4.36,-1.03,0.06,-0.05
4.46,-0.98,0.04,-0.02
4.57,-0.97,0.04,-0.09
4.67,-0.97,0.01,0.01
4.77,-0.96,-0.01,0.01
4.88,-0.96,0.05,-0.10
4.98,-0.97,0.03,-0.08
5.08,-0.97,0.06,-0.02
5.19,-0.99,0.04,-0.09
5.29,-0.98,0.02,-0.08
5.39,-1.02,0.01,-0.12
5.50,-0.94,-0.00,-0.07
5.60,-0.95,0.05,-0.09
5.70,-0.98,0.00,-0.10
5.81,-1.00,0.05,-0.10
5.91,-1.00,0.00,-0.13
6.01,-0.93,0.03,-0.07
6.12,-0.95,0.06,-0.13
6.22,-0.99,0.05,-0.03
6.32,-0.98,-0.01,-0.12
6.43,-0.91,0.08,-0.11
6.53,-0.93,0.01,-0.10
6.63,-0.86,0.05,-0.09
6.74,-0.98,0.04,-0.13
6.84,-0.96,0.02,-0.08
