Time,Ax,Ay,Az
13.62,-0.97,0.09,-0.13
13.67,-1.09,0.02,-0.09
13.73,-0.88,0.09,-0.12
13.78,-1.07,0.04,-0.06
13.83,-0.93,0.03,-0.13
13.89,-0.91,-0.02,-0.09
13.94,-1.07,0.10,-0.07
13.99,-0.92,0.01,-0.07
14.05,-0.99,0.06,-0.12
14.10,-0.94,0.00,-0.10
14.15,-1.09,0.06,-0.08
14.21,-0.89,0.05,-0.12
14.26,-1.05,0.04,-0.20
14.31,-0.95,0.05,-0.16
14.37,-0.85,0.05,-0.11
14.42,-1.04,0.02,-0.13
14.47,-1.05,0.04,-0.14
14.53,-0.92,0.04,-0.09
14.58,-1.00,0.04,-0.13
14.64,-0.93,0.03,-0.09
14.69,-0.98,0.03,-0.10
14.74,-0.95,0.02,-0.18
14.79,-0.91,0.02,-0.04
14.85,-0.96,0.05,-0.13
14.90,-1.00,0.01,-0.15
14.95,-1.06,0.05,-0.06
15.01,-0.93,0.05,-0.13
15.06,-0.94,0.04,-0.14
15.11,-1.13,0.06,-0.10
15.17,-0.89,0.02,-0.13
15.22,-1.08,0.06,-0.14
15.27,-0.91,-0.01,-0.11
15.33,-0.95,0.06,-0.19
15.38,-1.24,-0.02,-0.10
15.44,-0.82,0.04,-0.09
15.49,-1.09,0.08,-0.10
15.54,-0.97,0.05,-0.10
15.60,-0.99,0.00,-0.12
15.65,-0.97,0.06,-0.14
15.70,-0.99,0.02,-0.03
15.76,-0.98,0.05,-0.11
15.81,-1.07,0.13,-0.10
15.86,-0.95,0.04,-0.06
15.92,-0.94,0.05,-0.07
15.97,-1.01,0.05,-0.15
16.02,-0.96,0.02,-0.07
16.07,-0.97,0.03,-0.10
16.13,-1.18,0.07,-0.11
16.18,-1.02,0.01,-0.10
16.23,-0.96,0.06,-0.14
16.29,-1.11,0.07,-0.10
16.34,-0.93,0.03,-0.06
16.40,-1.01,0.05,0.02
16.45,-0.99,0.06,-0.10
16.50,-1.03,0.06,-0.09
