Time,Ax,Ay,Az
0.00,-0.98,0.04,-0.12
0.12,-0.98,0.04,-0.12
0.23,-0.98,0.04,-0.12
0.33,-0.98,0.04,-0.12
0.43,-0.98,0.04,-0.13
0.54,-0.98,0.04,-0.12
0.64,-0.98,0.04,-0.12
0.74,-0.98,0.04,-0.12
0.85,-0.98,0.05,-0.12
0.95,-0.98,0.05,-0.12
1.05,-0.98,0.04,-0.12
1.16,-0.97,0.04,-0.12
1.26,-0.98,0.05,-0.12
1.36,-0.98,0.04,-0.12
1.47,-0.98,0.04,-0.12
1.57,-0.98,0.05,-0.12
1.67,-0.97,0.04,-0.12
1.78,-0.98,0.04,-0.12
1.88,-0.98,0.04,-0.12
1.98,-0.98,0.04,-0.12
2.09,-0.98,0.04,-0.12
2.19,-0.98,0.05,-0.12
2.29,-0.98,0.04,-0.12
2.40,-0.98,0.05,-0.12
2.50,-0.98,0.04,-0.12
2.60,-0.98,0.04,-0.11
2.71,-0.98,0.04,-0.12
2.81,-0.98,0.04,-0.12
2.91,-0.97,0.05,-0.12
3.02,-0.98,0.04,-0.12
3.12,-0.97,0.05,-0.12
3.22,-0.98,0.04,-0.12
3.33,-0.98,0.04,-0.12
3.43,-0.98,0.04,-0.12
3.53,-0.98,0.04,-0.12
3.64,-0.98,0.04,-0.12
3.74,-0.98,0.04,-0.12
3.84,-0.98,0.04,-0.12
3.95,-0.98,0.04,-0.12
4.05,-0.98,0.05,-0.12
4.15,-0.98,0.05,-0.12
4.26,-0.98,0.04,-0.12
4.36,-0.98,0.04,-0.12
4.46,-0.98,0.05,-0.12
4.57,-0.98,0.05,-0.12
4.67,-0.98,0.04,-0.13
4.77,-0.98,0.04,-0.11
4.88,-0.99,0.05,-0.12
4.98,-0.97,0.04,-0.13
5.08,-0.97,0.05,-0.12
5.19,-0.99,0.04,-0.13
5.29,-0.98,0.05,-0.12
5.39,-0.98,0.05,-0.11
5.50,-0.98,0.04,-0.12
5.60,-0.98,0.04,-0.12
5.70,-0.99,0.05,-0.12
5.81,-0.97,0.05,-0.11
5.91,-0.98,0.05,-0.12
6.01,-0.97,0.04,-0.08
6.12,-0.99,0.05,-0.12
6.22,-0.96,0.05,-0.10
6.32,-0.97,0.05,-0.12
6.43,-0.98,0.04,-0.13
6.53,-0.98,0.04,-0.12
6.63,-0.97,0.05,-0.13
6.74,-0.97,0.05,-0.11
6.84,-0.95,0.07,-0.11
6.94,-0.98,0.04,-0.12
7.05,-0.98,0.05,-0.15
7.15,-1.00,0.05,-0.12
7.25,-0.97,0.05,-0.11
7.36,-0.99,0.04,-0.13
7.46,-0.99,0.03,-0.12
7.56,-0.97,0.03,-0.08
7.67,-0.97,0.07,-0.12
7.77,-0.97,0.05,-0.14
7.87,-0.94,0.05,-0.08
7.98,-0.90,-0.02,0.02
8.08,-0.95,0.03,-0.04
8.18,-1.70,-0.24,-0.49
8.29,-0.92,0.05,-0.25
8.39,-1.16,0.06,0.01
8.49,-1.07,0.07,-0.05
8.60,-1.06,0.03,-0.18
8.70,-0.96,-0.00,-0.08
8.80,-1.06,0.03,-0.04
8.91,-1.17,0.09,-0.15
9.01,-0.63,-0.10,-0.10
9.11,-0.80,-0.02,-0.03
9.22,-0.90,0.06,-0.05
9.32,-1.21,0.01,-0.05
9.42,-0.94,0.06,-0.05
9.53,-1.01,0.05,-0.16
9.63,-1.08,0.04,-0.09
9.73,-0.90,0.10,-0.07
9.84,-1.05,0.07,-0.10
9.94,-0.94,0.05,-0.06
10.04,-0.89,0.07,-0.14
10.15,-1.04,0.03,-0.04
10.25,-1.05,0.11,-0.08
10.35,-1.06,0.04,-0.17
10.46,-1.01,0.06,-0.04
10.56,-0.97,0.14,-0.05
10.66,-0.96,0.02,-0.09
10.77,-0.95,0.11,-0.10
10.87,-0.89,0.10,-0.08
10.97,-1.13,0.03,-0.21
11.08,-0.97,0.07,-0.03
11.18,-0.92,0.02,-0.13
11.28,-1.16,-0.01,-0.06
11.39,-0.91,0.05,-0.07
11.49,-1.01,0.05,-0.09
11.59,-1.02,0.14,-0.10
11.70,-0.95,0.02,-0.08
11.80,-1.01,0.07,-0.10
11.90,-0.92,0.00,0.04
12.01,-0.83,0.02,-0.11
12.11,-0.81,-0.06,-0.07
12.21,-0.66,-0.05,0.02
12.32,-0.98,0.11,-0.09
12.42,-0.93,0.04,-0.15
12.52,-1.02,0.06,-0.05
12.63,-0.96,0.05,-0.15
12.73,-1.07,0.12,-0.03
12.83,-0.92,0.08,-0.02
12.94,-0.86,0.02,-0.17
13.04,-0.89,0.04,-0.04
13.14,-0.95,0.04,-0.07
13.25,-0.89,0.04,-0.10
13.35,-1.14,0.06,-0.10
13.45,-1.01,-0.01,-0.07
13.56,-0.99,0.04,-0.12
13.66,-1.00,0.01,-0.04
13.76,-0.81,0.06,-0.07
13.87,-1.06,0.05,-0.08
